Number_of_Riders,Number_of_Drivers,Location_Category,Customer_Loyalty_Status,Number_of_Past_Rides,Average_Ratings,Time_of_Booking,Vehicle_Type,Expected_Ride_Duration,Historical_Cost_of_Ride
79,55,Rural,Silver,38,3.55,Morning,Premium,67,295.3565108
76,18,Suburban,Silver,67,4.34,Night,Economy,22,114.13726772
66,1,Suburban,Silver,52,4.96,Afternoon,Economy,163,579.65708117
74,10,Suburban,Silver,100,4.66,Morning,Premium,170,614.24875252
36,27,Rural,Gold,44,4.26,Night,Economy,108,344.1092928
43,20,Rural,Silver,68,4.94,Evening,Economy,98,432.56819556
100,33,Suburban,Gold,31,3.94,Afternoon,Economy,135,470.0719578
64,20,Suburban,Gold,40,4.4,Evening,Economy,140,453.77187468
81,15,Rural,Silver,48,4.16,Afternoon,Economy,173,623.17176042
33,25,Suburban,Regular,57,4.29,Afternoon,Economy,162,588.35054896
78,5,Suburban,Regular,47,4.62,Evening,Economy,127,517.07118867
54,30,Rural,Silver,27,4.33,Morning,Premium,99,401.63612175
48,7,Suburban,Gold,74,3.91,Night,Premium,76,302.64276263
100,23,Urban,Regular,65,3.5,Evening,Economy,139,428.90460633
97,32,Rural,Silver,80,4.79,Afternoon,Economy,72,307.7942459
60,19,Rural,Gold,51,4.59,Morning,Economy,109,307.06675553
66,26,Urban,Silver,90,4.5,Night,Economy,68,176.70230071
51,39,Suburban,Silver,46,4.43,Evening,Premium,28,25.993449448411635
33,12,Rural,Gold,7,4.19,Evening,Premium,112,533.17487592
63,58,Urban,Silver,54,3.75,Afternoon,Economy,144,572.87425873
66,2,Suburban,Silver,0,4.37,Night,Economy,50,73.47784449
85,50,Suburban,Silver,57,4.26,Morning,Premium,62,204.5270889
75,34,Suburban,Silver,58,4.81,Night,Premium,118,368.01925944
37,35,Rural,Regular,0,4.21,Afternoon,Economy,80,298.02051359
12,45,Suburban,Regular,0,4.61,Morning,Premium,108,472.50646603
53,27,Rural,Silver,20,4.17,Night,Economy,114,370.06552938
30,30,Rural,Regular,48,4.39,Evening,Premium,178,653.05060015
58,28,Urban,Silver,12,3.77,Morning,Economy,154,414.11925412
71,43,Rural,Regular,87,3.54,Afternoon,Premium,153,566.32637655
68,46,Suburban,Gold,17,4.13,Afternoon,Economy,151,631.85568841
50,27,Rural,Gold,75,4.6,Evening,Premium,120,396.05340604
70,20,Rural,Gold,0,4.33,Afternoon,Premium,146,557.83433982
94,7,Suburban,Silver,90,4.08,Evening,Premium,144,599.22291324
70,30,Suburban,Regular,73,3.95,Night,Premium,2,78.70646351
70,17,Urban,Gold,1,3.52,Night,Economy,124,482.92436997
48,1,Suburban,Gold,53,4.48,Afternoon,Economy,174,654.13175186
65,24,Suburban,Gold,66,3.98,Night,Economy,119,599.8409709
97,28,Suburban,Regular,93,3.5,Afternoon,Economy,62,250.91490474
60,42,Suburban,Silver,6,4.21,Afternoon,Premium,144,371.42449698
53,26,Suburban,Silver,100,4.57,Night,Premium,43,125.39042264
90,7,Suburban,Silver,43,5.0,Night,Premium,107,337.28989721
57,46,Rural,Silver,100,4.82,Night,Premium,127,338.92886758
75,1,Urban,Silver,98,4.42,Night,Premium,180,682.99242831
66,1,Rural,Regular,0,4.19,Night,Premium,156,637.08078753
74,21,Suburban,Regular,70,4.44,Night,Premium,104,506.67050987
81,20,Rural,Regular,45,4.13,Evening,Premium,123,454.47195907
92,21,Suburban,Regular,77,3.89,Night,Premium,28,197.02282803
87,10,Urban,Silver,67,3.77,Night,Premium,93,341.75584083
96,44,Rural,Regular,59,3.5,Evening,Premium,43,256.06397273
56,22,Rural,Gold,71,4.34,Morning,Premium,180,786.88080135
33,1,Rural,Regular,21,4.36,Night,Premium,75,335.72099156
58,33,Urban,Gold,0,4.8,Evening,Economy,59,309.25547405
100,11,Urban,Regular,69,3.5,Evening,Economy,90,422.44224796
59,7,Suburban,Regular,59,4.71,Morning,Premium,153,569.03169964
17,24,Rural,Regular,85,4.37,Morning,Premium,91,345.91842307
100,56,Urban,Gold,67,4.8,Morning,Premium,80,358.33043257
66,1,Urban,Gold,37,4.92,Evening,Premium,98,355.1393998
42,1,Rural,Regular,59,3.5,Afternoon,Premium,125,545.48375643
34,8,Urban,Gold,90,4.47,Evening,Premium,48,262.61061665
65,57,Suburban,Gold,56,4.36,Night,Premium,143,558.56379575
80,4,Suburban,Gold,0,4.58,Morning,Premium,137,481.26215273
78,45,Urban,Silver,92,4.96,Evening,Economy,153,537.08202371
83,41,Rural,Silver,19,4.19,Night,Premium,72,358.50066075
27,46,Urban,Gold,33,3.98,Night,Premium,98,434.47624959
34,7,Urban,Gold,19,4.09,Evening,Economy,139,522.45122688
62,27,Suburban,Gold,56,3.54,Morning,Premium,163,602.302205
89,38,Rural,Silver,39,5.0,Morning,Premium,173,635.43980743
52,32,Suburban,Gold,69,4.98,Evening,Premium,66,261.34426723
8,79,Urban,Gold,76,4.15,Night,Economy,98,399.4017925
82,61,Urban,Gold,3,4.35,Morning,Economy,87,351.42934739
1,47,Rural,Gold,0,3.8,Morning,Economy,155,545.55514591
50,39,Rural,Silver,32,3.97,Night,Economy,94,299.39356745
81,40,Suburban,Regular,77,4.64,Night,Economy,142,696.09623269
80,46,Urban,Regular,61,4.42,Morning,Premium,73,315.2230021
23,59,Suburban,Silver,72,4.41,Morning,Economy,21,89.68628793
83,11,Suburban,Silver,14,4.2,Morning,Economy,87,352.76724533
94,48,Rural,Gold,14,4.57,Afternoon,Premium,77,288.24937776
78,31,Urban,Silver,71,3.5,Morning,Premium,61,215.88644877
56,46,Rural,Regular,16,4.39,Afternoon,Premium,60,196.89737763
73,28,Urban,Regular,59,5.0,Night,Premium,29,209.92697347
45,18,Suburban,Gold,3,4.62,Morning,Economy,68,380.53371302
87,18,Rural,Regular,43,3.61,Morning,Economy,61,65.03537033
98,29,Suburban,Silver,28,4.4,Evening,Premium,145,518.40875751
52,36,Rural,Silver,67,4.07,Afternoon,Premium,70,281.39542595
80,18,Rural,Silver,1,4.91,Morning,Premium,108,497.38254587
86,1,Suburban,Silver,77,4.28,Evening,Premium,113,382.91367903
57,39,Rural,Gold,53,5.0,Afternoon,Premium,65,217.53342777
8,24,Suburban,Regular,75,5.0,Morning,Economy,180,716.46495454
65,1,Urban,Silver,27,4.47,Evening,Economy,129,369.69415034
1,1,Suburban,Gold,74,4.33,Afternoon,Economy,113,266.87849952
100,32,Suburban,Silver,33,4.85,Morning,Premium,117,425.03425162
76,39,Suburban,Silver,92,3.95,Morning,Economy,93,290.62463149
56,48,Rural,Regular,2,4.43,Afternoon,Economy,65,249.47203992
84,17,Suburban,Silver,3,4.14,Evening,Economy,78,209.95715145
34,14,Urban,Silver,48,4.03,Night,Premium,69,258.13465473
89,37,Suburban,Gold,54,4.65,Night,Premium,71,282.34740314
67,10,Urban,Gold,55,4.3,Night,Premium,108,279.0750452
68,11,Urban,Gold,67,5.0,Evening,Premium,5,167.71836719
52,30,Rural,Regular,9,3.99,Afternoon,Premium,103,521.82042216
54,32,Urban,Silver,100,3.81,Morning,Economy,87,319.39026026
75,37,Rural,Gold,47,4.24,Night,Economy,114,243.7783043
40,29,Suburban,Regular,72,4.49,Afternoon,Economy,180,690.00191322
31,8,Urban,Silver,52,4.18,Afternoon,Premium,32,149.59262057
86,20,Suburban,Silver,78,4.54,Night,Premium,39,234.55927583
73,28,Urban,Regular,100,3.88,Afternoon,Premium,94,432.58512072
38,51,Suburban,Silver,20,4.6,Night,Premium,180,615.10025978
63,40,Suburban,Silver,53,3.83,Night,Premium,20,128.16580158
62,30,Rural,Silver,44,3.6,Afternoon,Premium,95,499.91659375
43,39,Suburban,Regular,88,3.5,Morning,Premium,66,254.85075337
66,51,Suburban,Silver,70,4.89,Night,Premium,95,475.44914658
60,2,Suburban,Regular,80,4.52,Afternoon,Economy,37,33.33209205
82,27,Rural,Silver,38,4.52,Afternoon,Economy,84,368.04795125
70,1,Rural,Regular,72,4.11,Evening,Economy,122,266.24485915
48,27,Suburban,Silver,24,4.61,Morning,Economy,71,231.88651655
47,18,Urban,Regular,34,3.92,Evening,Premium,134,390.66193099
71,53,Suburban,Regular,83,3.89,Morning,Premium,180,794.08716997
18,49,Urban,Regular,77,4.32,Evening,Economy,134,453.65134734
34,66,Suburban,Silver,80,4.44,Night,Premium,155,623.08509365
56,22,Urban,Regular,25,3.91,Morning,Economy,138,537.74700524
57,32,Urban,Gold,72,4.71,Afternoon,Premium,83,274.21814789
84,26,Suburban,Silver,21,3.79,Morning,Economy,2,84.6816966
27,52,Suburban,Regular,52,4.27,Evening,Premium,57,352.66559034
50,27,Suburban,Regular,74,4.54,Morning,Premium,148,522.59439003
60,9,Suburban,Gold,60,3.5,Night,Economy,41,152.33692948
53,1,Rural,Regular,85,4.17,Morning,Premium,93,443.77101198
43,51,Urban,Gold,5,4.54,Morning,Economy,101,361.16457085
45,33,Urban,Regular,37,4.38,Night,Economy,48,253.11192446
66,31,Rural,Regular,12,4.41,Night,Economy,177,631.32937829
54,56,Urban,Silver,38,3.84,Morning,Premium,125,463.24813948
51,30,Suburban,Regular,50,4.06,Afternoon,Economy,175,659.68480983
32,1,Urban,Silver,51,4.66,Night,Premium,160,565.85990864
100,3,Urban,Regular,76,4.97,Evening,Premium,142,464.05676494
64,39,Urban,Silver,77,3.75,Evening,Economy,11,62.33543885
98,41,Urban,Regular,35,4.14,Afternoon,Premium,47,142.90963179
54,70,Urban,Gold,63,3.52,Evening,Economy,101,391.64426489
63,29,Rural,Gold,99,4.3,Evening,Economy,91,338.92234807
72,64,Urban,Silver,97,4.37,Morning,Economy,75,275.94433095
57,6,Rural,Gold,51,4.23,Morning,Premium,97,347.1291156
63,14,Suburban,Gold,67,4.58,Evening,Premium,180,666.16801584
66,7,Rural,Gold,49,3.5,Morning,Economy,96,202.20361793
55,32,Suburban,Gold,0,4.2,Afternoon,Premium,87,417.80282479
58,51,Rural,Silver,13,4.54,Night,Premium,100,275.82125336
85,25,Urban,Gold,35,5.0,Afternoon,Premium,123,420.41260028
37,10,Urban,Regular,37,4.32,Night,Premium,123,477.69853724
100,40,Suburban,Gold,39,4.47,Night,Premium,105,411.73611281
74,26,Rural,Silver,28,3.55,Afternoon,Economy,67,269.18032008
54,41,Urban,Silver,49,3.73,Afternoon,Economy,63,199.41346277
82,27,Rural,Silver,43,4.98,Night,Premium,94,417.61226523
80,27,Suburban,Regular,29,4.38,Evening,Premium,77,393.54632661
68,67,Rural,Regular,31,4.26,Night,Premium,47,188.19781173
58,8,Rural,Gold,30,4.13,Morning,Premium,35,177.40305418
22,36,Suburban,Silver,83,4.38,Morning,Premium,132,604.27007567
44,42,Rural,Silver,66,3.64,Evening,Premium,39,195.93719328
62,48,Rural,Silver,38,4.77,Night,Economy,113,345.47442546
72,7,Urban,Silver,72,4.34,Night,Economy,180,599.7044567
62,36,Urban,Regular,36,3.52,Morning,Premium,7,25.993449448411635
71,19,Suburban,Gold,43,4.37,Morning,Economy,96,285.60702883
55,27,Rural,Gold,42,3.9,Evening,Premium,67,224.06585567
76,20,Rural,Silver,84,4.87,Night,Economy,89,380.76108176
100,18,Rural,Silver,58,3.94,Afternoon,Economy,38,152.80380697
65,58,Urban,Gold,38,4.19,Night,Premium,60,335.79639959
58,47,Suburban,Silver,89,4.26,Morning,Economy,148,537.48384886
61,2,Urban,Gold,45,4.57,Afternoon,Economy,151,432.42162437
80,23,Suburban,Regular,19,4.99,Night,Economy,105,415.21577903
60,26,Rural,Gold,30,4.32,Morning,Premium,45,213.95153693
80,54,Urban,Silver,4,4.54,Night,Economy,87,340.68671948
83,6,Urban,Gold,29,3.92,Night,Premium,180,711.43926502
100,15,Suburban,Gold,37,4.19,Night,Premium,75,317.0649307
72,13,Urban,Silver,17,4.4,Evening,Economy,180,683.50359319
64,1,Urban,Regular,29,4.19,Morning,Economy,115,390.54818485
69,1,Suburban,Regular,19,4.63,Afternoon,Economy,95,293.21545918
61,32,Rural,Silver,77,3.96,Afternoon,Premium,95,324.46636659
65,13,Rural,Gold,2,4.21,Evening,Premium,75,268.35408371
94,32,Urban,Silver,13,3.85,Night,Premium,83,327.82208122
50,1,Suburban,Silver,52,4.62,Night,Economy,149,571.80145263
30,5,Urban,Silver,3,4.4,Evening,Economy,178,582.0278259
64,19,Urban,Regular,54,4.74,Morning,Premium,52,100.9783605
66,1,Urban,Gold,16,4.05,Evening,Premium,110,334.51443297
85,21,Urban,Regular,63,5.0,Morning,Economy,1,53.30570716
57,21,Urban,Regular,32,4.39,Morning,Premium,49,93.60640264
50,19,Urban,Silver,36,4.54,Morning,Premium,116,463.14642991
47,1,Urban,Gold,70,4.67,Night,Economy,107,369.1119284
46,49,Rural,Regular,51,4.26,Evening,Premium,140,505.59077195
41,4,Suburban,Regular,1,4.27,Morning,Economy,105,314.02488276
33,24,Urban,Regular,52,4.22,Night,Economy,93,501.22316348
9,24,Urban,Gold,42,4.61,Night,Premium,1,90.27352595
80,28,Suburban,Gold,40,4.09,Afternoon,Economy,103,263.28309556
65,1,Suburban,Regular,36,4.37,Afternoon,Economy,101,415.33405642
100,32,Suburban,Regular,24,4.62,Night,Economy,33,62.15940166
26,14,Urban,Silver,56,4.54,Afternoon,Economy,92,318.23036312
100,37,Rural,Regular,31,3.5,Evening,Premium,108,458.09518068
57,44,Urban,Regular,100,4.29,Morning,Economy,145,543.14337606
23,28,Urban,Gold,100,3.91,Afternoon,Economy,180,671.89923549
13,16,Rural,Regular,48,4.16,Night,Premium,27,134.31365363
48,58,Rural,Silver,74,4.69,Morning,Economy,30,81.08350722
82,35,Rural,Silver,42,5.0,Morning,Economy,32,82.24478801
67,12,Rural,Silver,37,3.87,Night,Premium,113,444.99360939
52,5,Urban,Gold,50,3.95,Evening,Economy,38,51.53053177
87,34,Urban,Gold,23,4.33,Night,Premium,97,419.39886119
63,21,Suburban,Regular,24,4.36,Night,Premium,121,358.81252324
23,6,Suburban,Regular,100,3.84,Afternoon,Economy,30,127.00864506
91,29,Urban,Gold,48,4.58,Evening,Economy,105,328.72356275
36,3,Rural,Silver,65,3.88,Evening,Economy,118,514.73360114
35,29,Urban,Silver,71,3.59,Morning,Economy,21,215.77868649
55,32,Urban,Silver,24,3.78,Afternoon,Premium,67,307.91088855
68,11,Suburban,Gold,9,4.61,Afternoon,Premium,44,102.49555688
45,33,Urban,Silver,96,4.17,Afternoon,Premium,96,404.14238482
19,12,Rural,Regular,56,3.5,Afternoon,Premium,48,259.02958558
46,26,Rural,Regular,50,4.46,Evening,Premium,180,659.90304175
84,1,Urban,Regular,62,4.31,Morning,Economy,122,528.49541621
60,28,Urban,Silver,62,4.77,Afternoon,Premium,86,350.64936881
87,47,Rural,Gold,79,4.31,Evening,Economy,105,417.72869746
73,1,Suburban,Silver,75,4.36,Night,Economy,81,339.90217024
47,41,Rural,Gold,50,4.12,Night,Premium,79,181.0515316
43,16,Rural,Regular,50,4.04,Afternoon,Premium,74,230.66156311
65,44,Urban,Regular,90,3.83,Evening,Premium,86,385.72351212
65,60,Rural,Gold,5,3.75,Night,Premium,113,458.67273702
63,29,Urban,Regular,53,4.42,Night,Premium,46,307.20673534
65,37,Rural,Silver,16,3.82,Afternoon,Premium,28,183.77427257
57,34,Suburban,Gold,1,4.15,Evening,Economy,139,604.16795967
58,45,Rural,Regular,28,4.97,Afternoon,Premium,173,657.12161335
41,23,Urban,Regular,17,4.61,Morning,Premium,90,348.564113
35,40,Urban,Gold,67,4.41,Evening,Premium,102,291.87959161
78,14,Urban,Regular,0,4.44,Morning,Premium,95,306.06087752
37,48,Rural,Silver,85,3.98,Night,Premium,91,414.1660154
16,7,Suburban,Silver,39,3.89,Night,Premium,148,521.88684346
52,18,Urban,Silver,74,4.62,Night,Economy,74,281.09319873
67,15,Rural,Regular,31,4.59,Evening,Economy,143,554.31303444
56,34,Suburban,Silver,28,3.5,Evening,Economy,74,264.81761558
32,42,Urban,Silver,39,4.25,Night,Economy,83,176.69088931
87,37,Urban,Gold,38,3.93,Afternoon,Premium,72,337.08872356
66,17,Urban,Silver,40,4.03,Night,Economy,33,44.04547111
88,55,Rural,Silver,26,3.82,Afternoon,Premium,113,416.54112715
59,49,Rural,Gold,47,4.66,Afternoon,Premium,125,524.89031462
72,32,Suburban,Gold,57,3.69,Evening,Premium,48,264.82492697
33,15,Suburban,Gold,63,3.5,Afternoon,Economy,111,468.74228917
1,1,Suburban,Silver,85,4.02,Night,Economy,84,365.44755573
61,40,Suburban,Regular,53,5.0,Afternoon,Economy,90,335.20434396
29,21,Suburban,Gold,68,4.72,Evening,Economy,81,229.32875689
81,45,Suburban,Silver,92,4.91,Afternoon,Premium,106,311.92728246
82,47,Suburban,Silver,27,4.75,Evening,Economy,94,335.77639405
68,19,Suburban,Silver,68,4.15,Afternoon,Premium,98,485.01987038
40,27,Suburban,Gold,29,4.23,Morning,Premium,124,488.56294136
60,26,Suburban,Silver,30,4.13,Afternoon,Premium,124,540.36854472
73,55,Rural,Regular,52,3.69,Evening,Premium,51,346.72230877
70,20,Rural,Regular,0,3.78,Morning,Economy,142,483.14720861
39,39,Rural,Gold,42,4.56,Afternoon,Economy,150,418.26477349
16,28,Suburban,Silver,27,3.95,Morning,Economy,73,313.8472115
69,57,Rural,Regular,7,4.29,Night,Economy,13,25.993449448411635
60,14,Suburban,Gold,70,3.79,Night,Premium,43,115.49610465
74,7,Suburban,Silver,28,4.1,Afternoon,Economy,118,453.89814195
60,1,Suburban,Regular,65,4.49,Morning,Premium,79,255.22515856
57,30,Urban,Silver,72,3.53,Evening,Premium,120,307.14741477
56,32,Suburban,Silver,75,4.24,Morning,Economy,180,567.88300051
53,23,Suburban,Silver,100,4.52,Afternoon,Economy,49,186.00231012
100,44,Suburban,Silver,32,4.24,Night,Economy,91,332.15325986
55,56,Suburban,Silver,15,3.84,Evening,Premium,165,627.93874651
53,12,Rural,Gold,100,4.28,Afternoon,Economy,74,378.59832526
78,23,Rural,Regular,41,3.66,Night,Premium,25,152.42047176
71,1,Urban,Regular,44,4.18,Evening,Premium,101,368.71201642
62,28,Suburban,Gold,75,3.84,Evening,Premium,178,670.49375146
40,15,Urban,Gold,49,3.94,Afternoon,Premium,139,602.50671018
29,19,Suburban,Silver,44,5.0,Morning,Premium,45,209.39159112
59,24,Suburban,Silver,76,4.76,Evening,Premium,61,326.93143294
56,36,Rural,Silver,13,4.46,Night,Premium,8,137.32202747
48,22,Urban,Gold,16,4.42,Evening,Premium,122,478.63363162
79,64,Urban,Gold,50,4.45,Afternoon,Premium,138,585.95737053
82,25,Suburban,Regular,0,4.25,Afternoon,Economy,106,445.81241314
88,1,Rural,Silver,0,4.16,Night,Economy,70,105.67546217
36,12,Urban,Regular,99,4.0,Night,Premium,107,432.43494843
85,38,Suburban,Regular,3,4.29,Night,Economy,26,53.55137493
15,39,Urban,Silver,34,3.73,Afternoon,Premium,81,399.91012604
59,26,Suburban,Silver,73,4.31,Evening,Economy,127,383.3507938
81,26,Urban,Silver,78,4.79,Afternoon,Economy,130,590.46111087
36,30,Urban,Gold,62,4.53,Afternoon,Premium,115,517.46126785
29,39,Urban,Gold,35,4.32,Afternoon,Premium,11,77.08554749
59,25,Rural,Silver,24,3.57,Night,Premium,37,192.14458387
100,2,Rural,Gold,41,4.04,Morning,Premium,71,377.04193621
100,13,Suburban,Regular,58,5.0,Afternoon,Premium,150,585.89010718
88,15,Rural,Regular,10,4.34,Afternoon,Premium,81,262.50752845
37,4,Urban,Gold,67,3.86,Morning,Premium,89,236.84265135
60,3,Urban,Regular,50,4.3,Afternoon,Premium,116,468.11475569
100,32,Urban,Silver,30,4.39,Evening,Premium,95,335.59329572
82,25,Suburban,Silver,67,4.26,Morning,Premium,97,406.97367758
24,39,Urban,Gold,89,4.36,Night,Economy,54,179.37715839
79,59,Suburban,Regular,54,3.92,Night,Economy,64,305.51614448
43,40,Urban,Silver,53,5.0,Night,Economy,106,512.31571259
54,38,Urban,Regular,38,4.17,Evening,Economy,174,637.45414151
78,1,Urban,Silver,1,4.24,Evening,Premium,56,275.74341261
52,37,Urban,Silver,24,4.1,Evening,Premium,83,410.02031896
48,25,Suburban,Gold,49,4.93,Morning,Economy,113,451.1315343
86,48,Rural,Regular,9,4.11,Evening,Premium,178,771.54928672
78,2,Urban,Silver,30,3.91,Afternoon,Economy,142,416.19378047
68,42,Rural,Regular,16,4.57,Morning,Economy,35,172.33230526
100,15,Rural,Gold,52,3.84,Afternoon,Premium,77,410.06069015
65,7,Suburban,Silver,68,3.64,Evening,Premium,72,138.87050528
68,64,Suburban,Silver,69,4.13,Evening,Premium,42,209.38275434
53,27,Suburban,Silver,92,4.17,Morning,Economy,96,307.49686697
38,24,Suburban,Silver,13,4.85,Evening,Premium,173,574.98443201
27,16,Suburban,Silver,76,3.72,Evening,Premium,106,382.26358389
81,20,Rural,Silver,57,4.16,Night,Premium,110,369.7230237
50,18,Suburban,Silver,61,4.04,Afternoon,Economy,45,68.18750757
100,21,Urban,Regular,94,3.73,Morning,Economy,146,515.72389835
39,23,Suburban,Silver,0,3.87,Morning,Premium,117,495.16345265
42,21,Suburban,Regular,45,4.48,Morning,Premium,115,539.75432226
68,5,Urban,Gold,36,5.0,Afternoon,Premium,142,580.58765218
36,26,Suburban,Silver,22,4.56,Night,Premium,69,265.10004987
25,31,Suburban,Silver,44,4.87,Evening,Premium,29,228.86127713
77,41,Urban,Gold,61,3.5,Morning,Economy,111,389.83544775
9,46,Rural,Regular,49,4.16,Morning,Economy,88,280.3470265
65,20,Suburban,Regular,0,4.22,Night,Economy,80,338.28313606
66,32,Suburban,Regular,43,4.72,Night,Premium,175,769.78143247
83,40,Urban,Gold,16,5.0,Afternoon,Premium,153,532.65120105
72,15,Rural,Silver,24,4.45,Night,Premium,111,388.85322071
100,30,Suburban,Silver,23,4.15,Night,Economy,50,252.15509597
52,32,Urban,Gold,100,3.98,Night,Premium,180,730.92385913
29,1,Urban,Silver,36,4.17,Afternoon,Premium,123,511.33561061
100,26,Urban,Regular,36,3.67,Night,Economy,98,426.4293771
63,28,Urban,Silver,49,3.62,Morning,Economy,69,340.0648663
40,13,Rural,Silver,31,4.38,Morning,Premium,88,361.59946363
23,44,Rural,Regular,79,4.14,Afternoon,Economy,54,352.60231961
53,59,Rural,Regular,68,4.02,Evening,Economy,41,317.84607497
42,33,Suburban,Regular,61,4.8,Afternoon,Economy,89,309.79110765
42,4,Rural,Silver,48,5.0,Evening,Economy,148,550.46753735
11,22,Urban,Silver,68,4.03,Night,Premium,96,339.65982288
52,9,Urban,Gold,45,3.84,Night,Economy,1,46.61375125
71,65,Urban,Silver,74,4.79,Afternoon,Premium,178,610.18211348
37,16,Urban,Regular,57,3.77,Evening,Premium,30,80.44079703
50,30,Urban,Regular,32,3.85,Evening,Economy,54,192.60675141
49,47,Urban,Silver,48,4.51,Afternoon,Economy,147,566.85946431
63,10,Urban,Silver,72,4.55,Evening,Economy,129,399.73756408
100,12,Rural,Gold,54,4.24,Night,Premium,165,509.70519723
65,50,Rural,Regular,25,4.23,Morning,Economy,138,573.17680069
33,49,Suburban,Silver,100,5.0,Night,Economy,144,497.93876781
57,8,Suburban,Gold,37,4.16,Morning,Premium,63,274.49531484
69,7,Rural,Silver,51,4.79,Night,Economy,71,232.93986926
31,37,Urban,Gold,49,4.42,Morning,Economy,114,493.2768554
39,37,Rural,Silver,100,4.96,Afternoon,Economy,80,222.77861566
38,16,Urban,Silver,46,3.86,Morning,Economy,108,406.96802933
56,32,Rural,Regular,75,4.19,Night,Economy,162,703.44257238
51,5,Rural,Silver,76,3.93,Afternoon,Premium,138,511.47952892
20,36,Rural,Gold,16,3.76,Afternoon,Premium,165,622.24295939
47,31,Urban,Silver,97,4.91,Night,Economy,91,312.26368824
60,1,Suburban,Regular,55,4.26,Afternoon,Premium,92,321.18399165
86,19,Suburban,Gold,51,3.83,Night,Economy,146,468.23136206
29,20,Suburban,Regular,60,4.18,Afternoon,Premium,1,86.58863258
39,38,Rural,Regular,100,3.5,Afternoon,Economy,158,588.22945041
33,7,Rural,Silver,50,4.19,Morning,Economy,86,298.6251363
22,48,Urban,Silver,56,4.56,Afternoon,Economy,78,213.19363389
1,27,Suburban,Gold,74,4.94,Night,Economy,55,95.96812592
71,46,Rural,Regular,58,3.5,Afternoon,Premium,111,434.47279996
63,1,Urban,Regular,84,4.0,Morning,Premium,137,566.15381581
70,32,Urban,Regular,63,4.49,Evening,Economy,110,360.2031439
67,30,Suburban,Regular,84,4.45,Night,Economy,30,163.31201737
50,30,Rural,Silver,69,3.98,Night,Premium,166,656.14497274
45,33,Rural,Silver,55,4.31,Evening,Premium,11,25.993449448411635
85,32,Rural,Regular,82,4.08,Afternoon,Economy,124,360.61658018
75,1,Rural,Silver,74,4.28,Night,Premium,61,215.68177002
57,58,Rural,Silver,46,4.87,Night,Premium,63,273.51510305
37,15,Urban,Regular,30,4.64,Evening,Premium,8,30.39307175
62,16,Rural,Regular,56,3.78,Afternoon,Economy,27,176.94366063
65,28,Suburban,Regular,86,3.85,Night,Premium,171,727.36470313
45,36,Urban,Gold,20,4.54,Afternoon,Economy,99,409.00105122
66,2,Suburban,Regular,46,3.63,Night,Economy,94,169.33737546
74,1,Urban,Silver,49,4.4,Night,Premium,100,412.07516819
71,55,Suburban,Gold,81,4.57,Evening,Premium,141,552.57783713
83,20,Rural,Regular,18,4.03,Afternoon,Economy,101,403.45138907
81,33,Rural,Regular,80,4.21,Morning,Economy,110,381.5694253
85,8,Rural,Gold,31,4.66,Evening,Premium,109,429.52070075
48,58,Suburban,Silver,52,5.0,Night,Economy,93,368.0521459
79,43,Rural,Regular,75,4.54,Night,Premium,77,324.23051283
72,16,Suburban,Silver,95,4.32,Night,Economy,133,447.73630056
80,56,Suburban,Silver,85,3.7,Morning,Economy,67,183.3946696
63,40,Urban,Regular,34,3.5,Afternoon,Premium,155,586.03544525
72,43,Urban,Silver,23,4.1,Afternoon,Premium,147,461.87343285
36,44,Rural,Silver,100,4.71,Night,Premium,148,629.04733835
71,20,Urban,Regular,13,4.43,Night,Premium,51,219.76808377
89,61,Rural,Silver,100,4.61,Afternoon,Premium,157,640.53831764
99,61,Rural,Regular,79,4.4,Night,Premium,141,469.98973137
57,61,Rural,Silver,76,4.5,Evening,Premium,25,78.41192489
100,1,Urban,Regular,72,4.12,Evening,Economy,75,169.34115945
56,28,Suburban,Regular,24,4.66,Evening,Economy,180,434.4830289
77,34,Rural,Regular,41,4.75,Afternoon,Premium,89,326.03929639
62,21,Suburban,Gold,100,4.41,Afternoon,Economy,176,481.60036677
90,27,Urban,Gold,14,4.3,Afternoon,Economy,152,582.27767515
65,27,Rural,Silver,96,3.5,Night,Economy,63,239.01831956
46,53,Urban,Regular,100,4.21,Evening,Economy,125,597.19225362
85,50,Rural,Gold,25,4.2,Morning,Economy,95,307.03384716
49,34,Urban,Regular,78,4.35,Afternoon,Premium,19,122.34096733
68,36,Suburban,Gold,100,4.89,Morning,Economy,78,329.03246417
20,28,Urban,Gold,100,4.22,Night,Premium,146,528.76750083
80,65,Rural,Gold,0,5.0,Morning,Economy,91,393.214948
16,34,Urban,Silver,82,4.26,Afternoon,Economy,48,213.87962898
49,60,Rural,Silver,60,4.62,Evening,Economy,154,624.23292474
28,46,Rural,Regular,91,4.25,Evening,Economy,94,270.08458306
34,38,Rural,Regular,66,3.61,Afternoon,Economy,168,567.1004981
60,1,Urban,Gold,54,4.28,Morning,Economy,48,121.29193665
44,51,Urban,Gold,100,3.91,Night,Premium,180,662.06669696
78,1,Urban,Silver,58,4.74,Evening,Premium,124,359.91650847
55,24,Suburban,Regular,100,4.17,Afternoon,Economy,136,528.26473051
64,1,Rural,Gold,73,3.8,Evening,Economy,130,455.94364569
